Date       ,Open      ,High      ,Low       ,Close     ,Adj Close ,Volume
17/07/2024 ,28.4      ,29.790001 ,27.24     ,27.98     ,27.98     , 23775000
18/07/2024 ,27.98     ,28.379999 ,25.610001 ,25.879999 ,25.879999 , 16969700
19/07/2024 ,25.549999 ,26.389999 ,24.85     ,24.969999 ,24.969999 , 12763300
22/07/2024 ,24.84     ,25.98     ,24.379999 ,25.219999 ,25.219999 , 14090400
23/07/2024 ,25.219999 ,25.68     ,24.889999 ,25.5      ,25.5      ,  7921700
24/07/2024 ,25.15     ,25.450001 ,23.93     ,24.01     ,24.01     ,  9549200
25/07/2024 ,23.59     ,24.59     ,23.360001 ,23.950001 ,23.950001 ,  8567700
26/07/2024 ,24.280001 ,24.77     ,24.110001 ,24.129999 ,24.129999 ,  6833900
29/07/2024 ,24.23     ,24.379999 ,23.540001 ,23.6      ,23.6      ,  7250200
30/07/2024 ,23.6      ,23.889999 ,22.34     ,22.4      ,22.4      ,  9272400
31/07/2024 ,22.860001 ,23.450001 ,22.610001 ,22.67     ,22.67     ,  8005800
